Date,Rate_BRL,Rate_CHI,Gold,Rate_COP
1993-07-06,0.0207,405.45,392.4,788.65
1993-07-07,0.021,404.97,397.35,789.47
1993-07-08,0.0209,404.56,394.9,790.58
1993-07-09,0.0215,405.6,391.9,791.73
1993-07-12,0.0218,405.63,394.1,793.18
1993-07-13,0.0221,405.65,394.1,794.67
1993-07-14,0.0223,404.38,391.0,795.66
1993-07-15,0.0226,404.2,394.25,797.0
1993-07-16,0.0229,405.13,393.85,797.06
1993-07-19,0.0232,404.7,395.0,797.31
1993-07-20,0.0234,404.3,392.0,797.31
1993-07-21,0.0237,404.21,391.2,797.41
1993-07-22,0.024,404.02,390.65,797.63
1993-07-23,0.0243,404.45,390.5,798.17
1993-07-26,0.0246,404.42,393.3,798.83
1993-07-27,0.0249,404.53,394.0,799.17
1993-07-28,0.0252,404.94,393.5,799.96
1993-07-29,0.0255,405.07,394.6,800.1
1993-07-30,0.0259,405.65,407.3,801.04
1993-08-02,0.0262,406.07,404.0,801.04
1993-08-03,0.0265,406.41,403.2,801.04
1993-08-04,0.0269,407.2,402.4,801.86
1993-08-05,0.0272,407.41,376.8,801.82
1993-08-06,0.0276,407.8,376.0,801.86
1993-08-09,0.0279,407.62,383.75,801.78
1993-08-10,0.0283,407.18,381.0,802.3
1993-08-11,0.0287,407.61,377.0,803.22
1993-08-12,0.029,407.6,367.95,804.48
1993-08-13,0.0294,407.64,369.9,804.93
1993-08-16,0.0298,407.5,374.4,804.93
1993-08-17,0.0302,407.22,372.2,804.51
1993-08-18,0.0306,407.75,374.2,804.76
1993-08-19,0.0309,407.88,373.0,805.62
1993-08-20,0.0313,408.75,373.7,806.15
1993-08-23,0.0317,408.95,374.4,806.72
1993-08-24,0.0322,408.75,372.0,807.04
1993-08-25,0.0322,408.51,371.75,807.57
1993-08-26,0.033,408.67,369.0,807.77
1993-08-27,0.0335,408.67,369.0,807.55
1993-08-30,0.0339,408.89,372.8,807.53
1993-08-31,0.0344,408.66,372.1,806.86
1993-09-01,0.0349,408.66,370.5,806.83
1993-09-02,0.0359,408.06,364.25,808.04
1993-09-03,0.0364,408.21,365.35,807.96
1993-09-06,0.0364,407.49,364.65,807.68
1993-09-07,0.0364,407.02,350.95,807.62
1993-09-08,0.0369,407.28,351.5,808.24
1993-09-09,0.0374,406.7,354.25,809.33
1993-09-10,0.038,407.2,350.0,808.97
1993-09-13,0.0385,406.79,347.7,808.96
1993-09-14,0.0391,406.98,345.2,810.03
1993-09-15,0.0396,406.93,348.75,810.81
1993-09-16,0.0402,406.74,352.9,811.75
1993-09-17,0.0408,407.41,351.05,811.93
1993-09-20,0.0414,408.68,354.5,811.18
1993-09-21,0.0419,409.78,364.3,810.88
1993-09-22,0.0419,410.06,354.5,809.75
1993-09-23,0.0432,408.73,358.3,810.04
1993-09-24,0.0438,409.26,358.3,810.55
1993-09-27,0.0445,409.71,354.5,809.93
1993-09-28,0.0452,409.87,356.0,809.55
1993-09-29,0.0459,410.13,352.5,809.69
1993-09-30,0.0466,410.83,355.4,810.84
1993-10-01,0.0473,411.51,355.5,810.84
1993-10-04,0.048,412.58,353.05,804.33
1993-10-05,0.0488,413.3,353.3,805.91
1993-10-06,0.0495,413.48,355.8,810.01
1993-10-07,0.0511,413.14,358.1,814.21
1993-10-08,0.0518,413.56,358.95,814.21
1993-10-11,0.0518,413.19,360.7,814.21
1993-10-12,0.0518,413.19,367.0,818.89
1993-10-13,0.0526,413.16,367.0,818.5
1993-10-14,0.0535,412.62,365.5,819.81
1993-10-15,0.0543,412.73,365.05,819.81
1993-10-18,0.0551,411.97,368.51,815.81
1993-10-19,0.056,411.91,369.0,816.91
1993-10-20,0.0568,412.69,372.6,816.91
1993-10-21,0.0577,413.15,370.1,816.91
1993-10-22,0.0586,413.22,368.5,816.91
1993-10-25,0.0595,412.41,369.8,816.91
1993-10-26,0.0604,412.3,368.75,816.91
1993-10-27,0.0614,412.16,369.75,816.91
1993-10-28,0.0623,411.86,369.6,816.91
1993-10-29,0.0633,412.44,369.5,816.91
