Fecha sistema,Fecha (Mes año),Índice ,Variación mensual (%),Variación anual (%),Variación año corrido (%),Orden_División,División del gasto
24/04/2026 08:50:06,1959-09-30 00:00:00,0.039790107358185,-0.35,7.23,6.44,30,Total
24/04/2026 08:50:06,1959-10-31 00:00:00,0.039885035165797,0.24,7.14,6.69,30,Total
24/04/2026 08:50:06,1959-11-30 00:00:00,0.039972284988969,0.22,7.42,6.92,30,Total
24/04/2026 08:50:06,1959-12-31 00:00:00,0.040302438319854,0.83,7.81,7.81,30,Total
24/04/2026 08:50:06,1960-01-31 00:00:00,0.04043296405532,0.32,6.52,0.32,30,Total
24/04/2026 08:50:06,1960-02-29 00:00:00,0.040310814302879,-0.3,5.24,0.02,30,Total
24/04/2026 08:50:06,1960-03-31 00:00:00,0.040832917244743,1.29,6.14,1.32,30,Total
24/04/2026 08:50:06,1960-04-30 00:00:00,0.041224494451142,0.96,5.49,2.29,30,Total
24/04/2026 08:50:06,1960-05-31 00:00:00,0.041537197817392,0.76,5.52,3.06,30,Total
24/04/2026 08:50:06,1960-06-30 00:00:00,0.041580473729686,0.1,4.93,3.17,30,Total
24/04/2026 08:50:06,1960-07-31 00:00:00,0.041771027343494,0.46,4.79,3.64,30,Total
24/04/2026 08:50:06,1960-08-31 00:00:00,0.041909929061985,0.33,4.96,3.99,30,Total
24/04/2026 08:50:06,1960-09-30 00:00:00,0.042005554868182,0.23,5.57,4.23,30,Total
24/04/2026 08:50:06,1960-10-31 00:00:00,0.042327332216042,0.77,6.12,5.02,30,Total
24/04/2026 08:50:06,1960-11-30 00:00:00,0.042822911211662,1.17,7.13,6.25,30,Total
24/04/2026 08:50:06,1960-12-31 00:00:00,0.043266140313379,1.04,7.35,7.35,30,Total
24/04/2026 08:50:06,1961-01-31 00:00:00,0.043500667838067,0.54,7.59,0.54,30,Total
24/04/2026 08:50:06,1961-02-28 00:00:00,0.043682845468851,0.42,8.36,0.96,30,Total
24/04/2026 08:50:06,1961-03-31 00:00:00,0.044387126041499,1.61,8.7,2.59,30,Total
24/04/2026 08:50:06,1961-04-30 00:00:00,0.045292430206738,2.04,9.87,4.68,30,Total
24/04/2026 08:50:06,1961-05-31 00:00:00,0.045788009202358,1.1,10.23,5.83,30,Total
24/04/2026 08:50:06,1961-06-30 00:00:00,0.045848735079286,0.13,10.27,5.97,30,Total
24/04/2026 08:50:06,1961-07-31 00:00:00,0.045961112851532,0.24,10.03,6.23,30,Total
24/04/2026 08:50:06,1961-08-31 00:00:00,0.045429237929472,-1.16,8.4,5,30,Total
24/04/2026 08:50:06,1961-09-30 00:00:00,0.045141662512295,-0.63,7.47,4.34,30,Total
24/04/2026 08:50:06,1961-10-31 00:00:00,0.045211462370834,0.15,6.81,4.5,30,Total
24/04/2026 08:50:06,1961-11-30 00:00:00,0.045445989895521,0.52,6.13,5.04,30,Total
24/04/2026 08:50:06,1961-12-31 00:00:00,0.045749619280162,0.67,5.74,5.74,30,Total
24/04/2026 08:50:06,1962-01-31 00:00:00,0.045949944874166,0.44,5.63,0.44,30,Total
24/04/2026 08:50:06,1962-02-28 00:00:00,0.045992522787874,0.09,5.29,0.53,30,Total
24/04/2026 08:50:06,1962-03-31 00:00:00,0.046400851960321,0.89,4.54,1.42,30,Total
24/04/2026 08:50:06,1962-04-30 00:00:00,0.04694947884843,1.18,3.66,2.62,30,Total
24/04/2026 08:50:06,1962-05-31 00:00:00,0.046992056762138,0.09,2.63,2.72,30,Total
24/04/2026 08:50:06,1962-06-30 00:00:00,0.047026258692822,0.07,2.57,2.79,30,Total
24/04/2026 08:50:06,1962-07-31 00:00:00,0.047477863777563,0.96,3.3,3.78,30,Total
24/04/2026 08:50:06,1962-08-31 00:00:00,0.047495313742198,0.04,4.55,3.82,30,Total
24/04/2026 08:50:06,1962-09-30 00:00:00,0.047782191160789,0.6,5.85,4.44,30,Total
24/04/2026 08:50:06,1962-10-31 00:00:00,0.047929468862304,0.31,6.01,4.76,30,Total
24/04/2026 08:50:06,1962-11-30 00:00:00,0.048242172228554,0.65,6.15,5.45,30,Total
24/04/2026 08:50:06,1962-12-31 00:00:00,0.048633051436367,0.81,6.3,6.3,30,Total
24/04/2026 08:50:06,1963-01-31 00:00:00,0.050449941754112,3.74,9.79,3.74,30,Total
24/04/2026 08:50:06,1963-02-28 00:00:00,0.053509269553834,6.06,16.34,10.03,30,Total
24/04/2026 08:50:06,1963-03-31 00:00:00,0.056281021936379,5.18,21.29,15.73,30,Total
24/04/2026 08:50:06,1963-04-30 00:00:00,0.058723318986624,4.34,25.08,20.75,30,Total
24/04/2026 08:50:06,1963-05-31 00:00:00,0.059453425506932,1.24,26.52,22.25,30,Total
24/04/2026 08:50:06,1963-06-30 00:00:00,0.060774736829056,2.22,29.24,24.97,30,Total
